Total day minutes,Total eve minutes,Total night minutes,Total intl minutes,Customer service calls,Churn,International plan_No,International plan_Yes,Voice mail plan_No,Voice mail plan_Yes
1.5667669524156402,-0.0706096195654979,0.866743222365615,-0.08500822876431834,-0.4279320210630442,False,True,False,False,True
-0.333737763585067,-0.10808035589345667,1.0585707388766072,1.2404816915093573,-0.4279320210630442,False,True,False,False,True
1.1683036448096946,-1.5733833607183667,-0.7568690565573161,0.7031209130200292,-1.1882184955849666,False,True,False,True,False
2.1965960515347143,-2.742864762954129,-0.07855113734834458,-1.3030259933401287,0.33235445345887815,False,False,True,True,False
-0.24008970511546712,-1.0389323320406403,-0.2763114636483362,-0.049184176865029926,1.0926409279808005,False,False,True,True,False
0.8010563566936161,0.38692779243904984,0.05988109106164955,-1.4104981490379942,-1.1882184955849666,False,False,True,True,False
0.7055720617834353,2.9092999905158465,0.23193257494264202,-0.9806095262465316,1.0926409279808005,False,True,False,False,True
-0.41820463985176504,-1.9303414278426048,0.21611174883864304,-1.123905733843686,-1.1882184955849666,False,False,True,True,False
1.4474115837779147,0.41453780868070367,2.4824450882365463,0.3448803940271438,-1.1882184955849666,False,False,True,False,True
0.1455199474064154,-0.741138585434232,-0.09634956671534395,-0.4074246958579153,-1.1882184955849666,False,True,False,True,False
-0.9360233160954357,-1.8948428355319067,-1.182053758102298,0.3448803940271438,-0.4279320210630442,False,True,False,True,False
-0.4255495856140867,0.9194066770995152,-0.1695208874463406,0.7389449649193183,1.0926409279808005,False,True,False,True,False
-1.0847584677824478,2.0948045113870606,0.04208266169465019,1.025537380113626,1.852927402502723,False,True,False,True,False
0.30527251773690994,1.576130634847422,-2.2064522483362543,1.2763057434086462,-0.4279320210630442,False,True,False,False,True
0.2006070406238272,0.3395963360247861,-1.4094781333472883,-0.7656652148508006,1.0926409279808005,False,True,False,True,False
0.18224467621802326,0.23310055909269356,-0.6955633554043188,-0.08500822876431834,-0.4279320210630442,False,True,False,False,True
0.8194187210994199,-0.8180522021074104,-0.15963287113134103,0.9897133282143378,-0.4279320210630442,False,True,False,True,False
-0.45309313222279257,0.7636072997358975,0.15678365094864555,0.12993608263141276,-1.1882184955849666,False,True,False,True,False
-2.1552843126408168,-0.6129492243122681,0.17260447705264456,-1.6254424604337252,2.6132138770246454,True,True,False,True,False
0.059216834699137154,-2.525928921055421,-0.3771692300613318,-0.264128488260761,-1.1882184955849666,False,True,False,True,False
-1.8119080982522835,0.8720752206852515,0.7144677711146217,0.022463926933547523,-1.1882184955849666,False,True,False,True,False
-1.0186539559215537,1.5011891621915054,0.9853994181456099,1.8853146256965512,1.0926409279808005,False,True,False,True,False
0.610087766873255,-0.19485469265294,-0.359370800694333,-0.264128488260761,-1.1882184955849666,False,True,False,False,True
-0.8350303118635141,-0.8969379627978497,-1.9533190306722652,1.5987222105022425,1.0926409279808005,False,True,False,True,False
0.18775338553976464,1.128453942929179,-0.38310203985033175,-1.4104981490379942,-1.1882184955849666,False,True,False,True,False
-1.7439673499508088,-1.2677010380429148,0.9814442116196104,1.4196019510058,0.33235445345887815,False,True,False,True,False
0.8506347405892865,0.01024828514220229,0.8964072713106137,0.022463926933547523,-0.4279320210630442,False,True,False,True,False
0.5917254024674511,-3.0,1.827858408183575,0.8464171206171834,1.0926409279808005,False,True,False,True,False
1.2821503041256788,1.0140695899280425,1.5687923807305855,0.5598247054228755,-0.4279320210630442,True,True,False,True,False
-0.054629824616847004,-0.11794107597976158,0.2497310043096414,-0.6940171110522231,-1.1882184955849666,False,True,False,False,True
0.7386243177138826,0.32184703986943775,-0.9506741763313076,1.5987222105022425,1.0926409279808005,False,True,False,False,True
-0.8992985872838277,0.44806425697414015,0.5325282709186296,-0.08500822876431834,-0.4279320210630442,False,True,False,True,False
0.4429902507804394,-0.2638797332570744,-1.9612294437242648,0.09411203073212433,1.0926409279808005,False,False,True,False,True
-0.7230198889881101,1.3966655292766732,-0.24862501796633726,0.30905634212785543,-0.4279320210630442,False,True,False,True,False
-0.9819292271099457,-0.6740856888473584,-0.2585130342813368,-0.2999525401600494,1.0926409279808005,False,True,False,True,False
-0.12257057291832185,0.057579741556465974,-1.555820774809282,1.5628981586029542,-1.1882184955849666,True,False,True,False,True
